time,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Buffer 6,Buffer 7
422.050023,19101.66667,2981.666667,22639.33333,1775.333333,926,1068.833333,24306.66667
428.16669,19120.66667,2997.666667,22661.33333,1792.333333,931,1068.333333,24320.66667
434.283357,19162.66667,3005.666667,22697.33333,1794.333333,936,1066.333333,24345.66667
440.400024,19077.66667,3003.666667,22635.33333,1784.333333,929,1074.333333,24207.66667
446.516691,19184.66667,3020.666667,22708.33333,1807.333333,946,1077.833333,24291.66667
452.633358,19175.66667,3020.666667,22720.33333,1810.333333,944,1076.833333,24273.66667
458.750025,19176.66667,3040.666667,22706.33333,1816.333333,949,1080.833333,24298.66667
464.866692,19195.66667,3043.666667,22722.33333,1827.333333,952,1088.333333,24295.66667
470.983359,19205.66667,3040.666667,22710.33333,1828.333333,962,1097.333333,24316.66667
477.100026,19191.66667,3044.666667,22706.33333,1836.333333,955,1099.333333,24317.66667
483.216693,19184.66667,3043.666667,22694.33333,1829.333333,961,1088.333333,24293.66667
489.33336,19197.66667,3061.666667,22737.33333,1844.333333,963,1095.833333,24358.66667
495.450027,19175.66667,3058.666667,22698.33333,1846.333333,965,1089.833333,24341.66667
501.566694,19179.66667,3048.666667,22690.33333,1841.333333,958,1100.333333,24346.66667
507.683361,19287.66667,3083.666667,22813.33333,1870.333333,985,1107.666667,24455.66667
513.800028,19277.66667,3086.666667,22817.33333,1870.333333,984,1102.666667,24460.66667
519.916695,19241.66667,3085.666667,22784.33333,1875.333333,988,1098.833333,24440.66667
526.033362,19259.66667,3091.666667,22781.33333,1878.333333,992,1116.166667,24419.66667
532.150029,19321.66667,3113.666667,22844.33333,1895.333333,1000,1124.333333,24497.66667
538.266696,19309.66667,3110.666667,22853.33333,1896.333333,1001,1123.166667,24498.66667
544.383363,19248.66667,3094.666667,22758.33333,1896.333333,993,1111.666667,24449.66667
550.50003,19228.66667,3095.666667,22723.33333,1892.333333,988,1129.666667,24433.66667
556.616697,19267.66667,3114.666667,22807.33333,1905.333333,1008,1117.666667,24484.66667
562.733364,19252.66667,3114.666667,22777.33333,1914.333333,1006,1126.666667,24465.66667
568.850031,19271.66667,3121.666667,22819.33333,1917.333333,1011,1125.833333,24478.66667
574.966698,19281.66667,3121.666667,22787.33333,1922.333333,1006,1145.666667,24489.66667
581.083365,19286.66667,3130.666667,22815.33333,1927.333333,1016,1143.666667,24473.66667
587.200032,19279.66667,3131.666667,22795.33333,1930.333333,1019,1155.333333,24464.66667
593.316699,19233.66667,3128.666667,22796.33333,1926.333333,1022,1155.333333,24435.66667
599.433366,19176.66667,3110.666667,22777.33333,1924.333333,1008,1153.333333,24390.66667
605.550033,19267.66667,3146.666667,22886.33333,1950.333333,1028,1157.166667,24523.66667
611.6667,19149.66667,3118.666667,22787.33333,1930.333333,1011,1164.333333,24413.66667
617.783367,19232.66667,3148.666667,22867.33333,1952.333333,1031,1170.333333,24482.66667
623.900034,19239.66667,3145.666667,22866.33333,1951.333333,1031,1164.833333,24466.66667
630.016701,19185.66667,3140.666667,22831.33333,1950.333333,1027,1164.833333,24463.66667
636.133368,19237.66667,3155.666667,22869.33333,1963.333333,1038,1174.833333,24502.66667
642.250035,19252.66667,3168.666667,22919.33333,1975.333333,1041,1171.833333,24552.66667
648.366702,19175.66667,3152.666667,22844.33333,1960.333333,1035,1187.666667,24469.66667
654.483369,19279.66667,3174.666667,22956.33333,1977.333333,1049,1169.666667,24555.66667
660.600036,19198.66667,3161.666667,22885.33333,1977.333333,1046,1168.333333,24484.66667
666.716703,19222.66667,3166.666667,22890.33333,1987.333333,1048,1180.833333,24525.66667
672.83337,19243.66667,3183.666667,22937.33333,1997.333333,1058,1189.833333,24599.66667
678.950037,19243.66667,3175.666667,22951.33333,1999.333333,1054,1191.333333,24591.66667
685.066704,19241.66667,3176.666667,22936.33333,2001.333333,1058,1195.833333,24569.66667
691.183371,19252.66667,3185.666667,22950.33333,1997.333333,1055,1195.333333,24598.66667
697.300038,19200.66667,3171.666667,22905.33333,1999.333333,1053,1181.333333,24527.66667
703.416705,19130.66667,3152.666667,22783.33333,1981.333333,1047,1207.333333,24428.66667
709.533372,19169.66667,3178.666667,22901.33333,2007.333333,1058,1211.666667,24530.66667
715.650039,19199.66667,3171.666667,22918.33333,2010.333333,1056,1217.333333,24573.66667
721.766706,19273.66667,3192.666667,22962.33333,2025.333333,1072,1214.833333,24636.66667
727.883373,19241.66667,3197.666667,22945.33333,2021.333333,1064,1223.833333,24619.66667
734.00004,19173.66667,3175.666667,22889.33333,2017.333333,1061,1220.833333,24545.66667
740.116707,19139.66667,3180.666667,22843.33333,2014.333333,1065,1218.833333,24488.66667
746.233374,19196.66667,3186.666667,22934.33333,2036.333333,1064,1219.333333,24597.66667
752.350041,19165.66667,3179.666667,22896.33333,2028.333333,1063,1240.833333,24527.66667
758.466708,19183.66667,3190.666667,22903.33333,2032.333333,1069,1217.833333,24546.66667
764.583375,19200.66667,3197.666667,22940.33333,2042.333333,1080,1235.333333,24598.66667
770.700042,19158.66667,3184.666667,22875.33333,2031.333333,1066,1227.833333,24500.66667
776.816709,19189.66667,3192.666667,22915.33333,2038.333333,1073,1217.833333,24580.66667
782.933376,19228.66667,3211.666667,22964.33333,2052.333333,1080,1240.333333,24663.66667
789.050043,19175.66667,3203.666667,22928.33333,2054.333333,1076,1246.333333,24582.66667
795.16671,19199.66667,3206.666667,22940.33333,2060.333333,1077,1262.333333,24607.66667
801.283377,19180.66667,3202.666667,22918.33333,2060.333333,1079,1244.333333,24588.66667
807.400044,19203.66667,3201.666667,22960.33333,2068.333333,1090,1239.333333,24629.66667
813.516711,19103.66667,3181.666667,22831.33333,2048.333333,1070,1258.833333,24499.66667
819.633378,19068.66667,3157.666667,22813.33333,2039.333333,1055,1268.833333,24486.66667
825.750045,19155.66667,3197.666667,22909.33333,2061.333333,1079,1273.333333,24555.66667
831.866712,19189.66667,3210.666667,22947.33333,2071.333333,1091,1283.333333,24615.66667
837.983379,19193.66667,3196.666667,22941.33333,2068.333333,1082,1286.333333,24578.66667
844.100046,19203.66667,3208.666667,22975.33333,2083.333333,1089,1281.333333,24625.66667
850.216713,19178.66667,3212.666667,22949.33333,2072.333333,1085,1282.833333,24640.66667
856.33338,19167.66667,3203.666667,22928.33333,2070.333333,1083,1284.333333,24628.66667
862.450047,19151.66667,3206.666667,22944.33333,2080.333333,1086,1284.333333,24627.66667
868.566714,19198.66667,3220.666667,23008.33333,2085.333333,1095,1298.333333,24667.66667
874.683381,19209.66667,3212.666667,23027.33333,2089.333333,1092,1297.333333,24631.66667
880.800048,19183.66667,3209.666667,22977.33333,2080.333333,1085,1309.333333,24638.66667
886.916715,19209.66667,3217.666667,23022.33333,2093.333333,1094,1300.333333,24656.66667
893.033382,19193.66667,3211.666667,22978.33333,2090.333333,1087,1308.833333,24607.66667
899.150049,19183.66667,3209.666667,22997.33333,2092.333333,1092,1322.333333,24655.66667
