time,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Buffer 6,Buffer 7
434.283357,69362.25,50684.33333,55302.33333,58436.33333,57473.08333,50764.5,48057
440.400024,68930.25,50432.33333,54855.33333,57943.33333,57115.08333,50286.5,47900
446.516691,68607.25,50241.33333,54427.5,57490.33333,56788.58333,50160,47567
452.633358,68471.25,49783.33333,54065.5,57469.33333,56449.58333,49680.5,47298
458.750025,67671.75,49063.33333,53583.5,56661.33333,55987.58333,49337,46759
464.866692,67869.75,49507.33333,53141.5,56574.33333,55982.08333,49393,46800
470.983359,67194.25,48765.33333,52633.5,56369.33333,55459.58333,48950,46237
477.100026,66938.25,48695.33333,52472.5,56001.33333,55439.58333,48888.5,46164
483.216693,66652.25,48611.33333,51911,55684.33333,55025.58333,48627,46086
489.33336,66317.25,48419.5,51487,55518.33333,54868.08333,48475.5,45712
495.450027,65903.25,47901.33333,51205,54958.33333,54552.58333,48156,45607
501.566694,65318.25,47437.5,50997,54617.33333,54179.08333,47814.5,45148
507.683361,65433.75,47334.5,50975,54485.33333,54183.58333,47868,45126
513.800028,65024.75,46991.5,50402,54105,53867.08333,47445.5,44785
519.916695,64610.25,46553.5,50284,53950,53612.58333,47202.5,44535
526.033362,64015.75,45873.5,49321,53165.33333,52913.08333,46732.5,44132
532.150029,63996.25,45981.5,49311,53087.66667,53009.08333,46658,44218
538.266696,63482.75,45317.5,48750,52454.66667,52637.58333,46445,43750
544.383363,63181.25,45167.5,48730,52256.66667,52415.08333,46163.5,43423
550.50003,63004.75,44657.5,48515,52056.66667,51965.08333,46056.5,43342
556.616697,62376.75,44685.5,48189,52118.33333,51919.08333,46048,42995
562.733364,62337.25,44679.5,48095,51770.66667,51855.08333,45793.5,42957
568.850031,61906.75,44059.5,47798,51261.66667,51476.58333,45488,42623
574.966698,61819.75,44176.5,47734,51242,51602,45451,42560
581.083365,61757.75,44019.5,47247,51071.66667,51334.58333,45330.5,42511
587.200032,60791.75,43621.5,46980,50662.33333,50800.08333,44771.5,41986
593.316699,61037.25,43490.5,46965,50524.66667,50867.5,44778,41799
599.433366,60345.25,43035.5,46554,50005.66667,50288.08333,44450,41687
605.550033,60003.75,42810.5,46318,49825,50327,44146.5,41274
611.6667,60049.75,43010.5,46139,49885.66667,50190.58333,44301,41279
617.783367,59897.25,42714.5,45772,49639.66667,49904.58333,44321.5,41146
623.900034,59285.25,42318.5,45897,49226,49732.58333,44135,40740
630.016701,59208.75,42005.5,45396,49127.66667,49729.08333,43868.5,40840
636.133368,58956.25,41936.5,45654,48729.66667,49102.08333,43527.5,40216
642.250035,58614.75,41889.5,45137,48559,49020,43527,40126
648.366702,58284.75,41472.5,44749,48213.66667,48817.58333,43010.5,39896
654.483369,57821.75,41472.5,44597,48036.5,48469.5,42900.5,39349
660.600036,57833.75,41267.5,44529,48045.5,48602.08333,43006.5,39945
666.716703,57372.75,40944.5,44501,47757.66667,48195.5,42681,39479
672.83337,56937.75,40730.5,43866,47211.66667,47928.08333,42365.5,39324
678.950037,56744.75,40505.5,43924,47037.5,47735,42169.5,39023
685.066704,56855.25,40500.5,43660,47038.66667,47571,42222,38981
691.183371,56267.25,40050.5,43213,46561.5,47401.58333,41850.5,38567
697.300038,56090.25,40167.5,43698,46542,47215.5,41914,38838
703.416705,55847.75,40087.5,43064,46436.5,47048.5,41756.5,38387
709.533372,55839.75,39844.5,42913,46243.33333,46955,41649.5,38388
